Year,Mercury,Ichaboe,Possession,Lamberts Bay,Malgas,Algoa Bay
1956,9.396,175.116,19.258,5.915,25.04,19.092
1957,NA,NA,NA,NA,NA,NA
1958,NA,NA,NA,NA,NA,NA
1959,NA,NA,NA,NA,NA,24.683
1960,NA,NA,NA,NA,NA,NA
1961,NA,NA,NA,NA,NA,NA
1962,NA,NA,NA,NA,NA,NA
1963,NA,NA,NA,NA,NA,NA
1964,NA,NA,NA,NA,NA,NA
1965,NA,NA,NA,NA,NA,NA
1966,NA,NA,NA,NA,NA,NA
1967,5.147,166.601,16.296,3.711,30.801,NA
1968,NA,NA,NA,NA,NA,NA
1969,2.835,NA,NA,3.149,27.442,30.791
1970,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,NA,28.726
1972,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,36.791
1975,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA
1978,5.696,69.908,4.357,5.595,28.168,45.032
1979,NA,NA,NA,NA,NA,36.796
1980,NA,54.328,3.26,7.345,29.546,45.72
1981,2.063,49.683,4.1,7.57,30.899,47.588
1982,3.364,NA,2.942,6.888,32.261,49.458
1983,2.38,46.758,3.537,6.102,19.826,47.073
1984,3.603,56.208,2.383,10.024,27.98,44.688
1985,2.286,40.704,3.533,8.832,27.619,45.745
1986,2.48,NA,NA,11.161,38.895,51.195
1987,2.361,49.261,2.742,14.265,40.72,51.219
1988,3.279,55.614,3.097,11.125,41.324,56.111
1989,2.932,58.239,3.04,10.793,53.194,50.921
1990,NA,NA,NA,9.63,29.075,53.376
1991,NA,NA,NA,11.834,43.715,56.869
1992,2.76,25.525,3.158,10.55,42.38,55.945
1993,2.723,31.484,1.399,10.462,32.32,65.173
1994,1.619,31.328,0.922,9.705,48.043,65.04
1995,1.992,31.183,0.767,9.56,50.109,65.04
1996,1.794,32.657,0.726,10.826,56.376,NA
1997,1.434,23.702,5.304,11.065,50.425,63.353
1998,1.358,19.972,0.339,10.027,50.96,55.075
1999,NA,NA,NA,NA,NA,NA
2000,NA,NA,NA,11.631,48.058,NA
2001,2.32,13.268,0.4,9.525,48.68,87.257
2002,NA,NA,NA,9.364,NA,76.571
2003,1.503,11.837,0.437,10.529,31.07,78.929
2004,1.91,10.947,0.477,NA,NA,87.569
2005,1.414,8.669,0.351,4.962,36.156,98.419
2006,1.421,12.076,0.33,4.189,29.252,79.086
2007,NA,NA,NA,8.7,31.155,75.213
2008,NA,NA,NA,8.04,36.772,96.191
2009,NA,NA,NA,6.504,32.461,84.959
2010,2.2,10.5,0.38,8.908,NA,NA
2011,NA,NA,NA,8.566,29.865,82.683
2012,NA,NA,0.762,8.907,20.252,93.224
2013,NA,NA,0.684,4.037,18.199,79.403
2014,NA,NA,NA,7.342,16.625,75.88
2015,NA,NA,NA,8.147,20.551,81.3
2016,NA,NA,NA,8.703,32.67,89.43